GuessWord,Entropy
tares,6.194052544375447
lares,6.149918742453123
rales,6.114343099454225
rates,6.096242642514601
teras,6.076619177276173
nares,6.066830765753898
soare,6.0613953990962575
tales,6.054987761401193
reais,6.049777632888325
tears,6.03233867023981
arles,6.029656532378519
tores,6.018294372182983
salet,6.016842875398266
aeros,6.01348031847208
dares,6.010334729949003
saner,5.999263329266241
reals,5.999162055397663
lears,5.988782099885763
lores,5.976968564571461
serai,5.973617168039952
lanes,5.971303767248142
laers,5.968985947815138
pares,5.967345992114719
cares,5.966406181817174
tires,5.963365144184273
saine,5.962649288084518
seral,5.953595576828302
mares,5.951777451541269
reans,5.950810301312466
aloes,5.9447087524871405
sared,5.9426030157770455
roles,5.941958662971234
teals,5.938324842377535
aures,5.930154750557617
earls,5.92662500939885
taels,5.920944159469209
raise,5.919736842516196
tries,5.919202729460118
rotes,5.917235482693108
sorel,5.916675826748224
leats,5.912290462231831
nears,5.90522053383489
toeas,5.905026726887669
strae,5.897739659351544
rones,5.896162519599142
nates,5.895559211507811
earns,5.884742020852894
taser,5.883283096506934
toles,5.882623256205501
dales,5.882367241549493
taros,5.881371827320916
riles,5.880966673201583
arets,5.879865984189503
hares,5.877285065428584
toras,5.873704990539329
slate,5.871215373158405
dears,5.865236013129894
soler,5.864646356975402
gares,5.862407509254534
bares,5.86171210886382
raits,5.8603799471357325
races,5.859012429908855
rites,5.8587789014726885
laris,5.8549270090454355
rapes,5.854187976967601
leans,5.850950192144484
aeons,5.843026969071999
dores,5.8372797078241065
rails,5.837152177110928
stare,5.8360054446679905
snare,5.835020926007213
siren,5.833857237827435
pales,5.833248094969352
tones,5.8317833265474
rines,5.829793049137059
laser,5.829678635703559
dates,5.826197447356992
tiles,5.8228092634038555
lairs,5.820600368847812
reads,5.819907032958895
males,5.819132925572118
orles,5.817171120284682
leirs,5.815291576400972
lotes,5.814982782561457
lades,5.8141857911135855
neats,5.8141003660667385
neals,5.812018158021401
pears,5.805012071411251
siler,5.803012613116467
tiars,5.801225795874131
saute,5.799591561605322
setal,5.797054697177065
slane,5.795810089691075
pores,5.794027548903904
cores,5.79332285075514
ratos,5.7909558676027775
solei,5.790176208511163
liras,5.788630749129665
roues,5.786879918257066
airts,5.786539481883818
pates,5.783762008533005
tames,5.783129987193506
cates,5.78278100628196
reast,5.781404280769131
mores,5.7813246792831245
resat,5.78092609432151
rotas,5.780741963762056
salue,5.780382343192868
ranis,5.780156675133233
rains,5.77893399507677
deals,5.777376594734392
arise,5.776521254410468
taces,5.776164996137417
slier,5.775420338484017
rials,5.7730942382887696
canes,5.772940545970314
tails,5.772679311989563
tiers,5.77265494384066
naris,5.772280305738514
tarns,5.772112789750451
rages,5.771715184223098
panes,5.77152693370024
sored,5.771002985229282
stoae,5.770918828186659
apres,5.770210625398154
tapes,5.768710467543874
roans,5.767354162730723
lames,5.767210992141901
antes,5.7665445618947135
aides,5.766044574826901
mates,5.765780985693365
tines,5.765108949471398
sarge,5.764567684507769
sated,5.764406874489559
ayres,5.7633684541599415
reins,5.762515911950283
saned,5.7622202718119775
sorta,5.762006814945552
teils,5.76011285045082
noles,5.7586929916951215
laces,5.758356997528116
lites,5.756668544431693
saice,5.756296758208435
braes,5.75626087328219
aesir,5.75516623955811
manes,5.755024596894303
arose,5.754577440844558
sarin,5.754319456894577
liars,5.753554228790426
acres,5.752465307278673
terns,5.750489235199887
stale,5.75025474169574
reaps,5.75024550515673
renos,5.747428776759419
daris,5.747159220084551
eards,5.745698050661166
reams,5.7441742698123734
riels,5.7437603965678345
hales,5.741961976120324
solar,5.741949064517476
serin,5.7408866547737265
soral,5.740795081622228
raile,5.7400648329293835
claes,5.739473959784869
telos,5.737641930004349
torse,5.736935271062263
aunes,5.736377368105165
sayer,5.735859291347874
dries,5.735137231125592
eorls,5.734969684109894
cires,5.732679230154004
seron,5.732550030364617
lines,5.7325486413460025
tolas,5.730354543343419
yales,5.730147794617366
roset,5.729733335221264
gales,5.729136951607584
liers,5.728143428950667
rodes,5.727985156976164
teads,5.72790718628062
kaies,5.726306673769943
bales,5.725242010731937
aisle,5.724022119981329
airns,5.723427322600224
roate,5.723313999433777
mires,5.72302796567595
leads,5.722455485328347
serac,5.720866977119144
notes,5.719466895058598
rakes,5.718691371939865
peals,5.716427715820637
salep,5.716051408963756
stear,5.715248709524916
deros,5.715244093279958
hears,5.714503557161819
deans,5.714491369462128
sired,5.7110360597473795
samel,5.709912874547928
pelas,5.7096443211196535
doles,5.709578336219974
tains,5.708555775414267
rants,5.708167965440316
earst,5.706527417882826
sonar,5.706135528807664
meals,5.7058601188173705
larns,5.7057502655875085
arils,5.7052194381357
carse,5.702644611796637
lures,5.70257621144239
rased,5.702536104980828
parse,5.700377147757488
wares,5.6999575608588255
melas,5.699845784723293
saree,5.699830403497013
gears,5.6996910309543924
scrae,5.698718746153044
senor,5.698378214969022
sabre,5.697881618169946
peats,5.697278466962932
bears,5.697006672810197
artis,5.695132272971938
silen,5.694945626797682
sager,5.694507351906508
years,5.694168021561678
stane,5.692863116375777
trues,5.692795508106462
teins,5.6927054932354615
fares,5.692278851549274
sitar,5.692168204246879
pries,5.69143522381666
hates,5.69109814761026
gores,5.690366705455429
yores,5.6900457018193995
bores,5.689713765431595
raine,5.688010190876571
cries,5.687539106163147
meats,5.686751216492436
marse,5.683818289569572
saber,5.6834334098274875
kales,5.682535249367665
ureas,5.682428711783155
nerts,5.680005737026487
least,5.679173510692574
yates,5.678963948767836
sarod,5.676581979077185
ropes,5.676235915915671
store,5.676194591072404
bates,5.675838383836415
tabes,5.675703984875283
gates,5.675074435357504
snore,5.6746634914850995
rents,5.673404528214529
satem,5.670858572501776
rides,5.670565678139882
taler,5.670431531941807
spaer,5.669884493224828
raids,5.669879530202639
paris,5.668743400364593
rules,5.667664608431908
names,5.667523208584009
banes,5.666353122029993
orals,5.666097086889464
lotas,5.665782160723863
darts,5.664601009021716
poles,5.662856100907792
almes,5.661395176830137
doers,5.660829454213493
amies,5.660772088719765
loans,5.6605024907936246
samen,5.660480706220524
slade,5.65947617743546
stire,5.659316836260704
nites,5.659037559898924
coles,5.65838800762235
teams,5.658345459131499
lenis,5.656509776752984
loser,5.655817852499799
saint,5.654648047736457
leaps,5.654035943415109
tiros,5.653858895897095
napes,5.653762844629712
peris,5.6535662771810395
ceros,5.652783631723762
spare,5.652533738057755
lenos,5.6518348516532555
moles,5.6508719060184704
loris,5.650818608639547
nails,5.649478538257039
dotes,5.649002884074261
leams,5.648725321517136
roads,5.648443531650865
tepas,5.647148816094955
peans,5.64670859873846
tians,5.646376210683548
hires,5.646039478951212
kores,5.645714834051192
soled,5.6453378368318266
meris,5.64401570395655
trans,5.64236115566538
salto,5.641512659979394
share,5.641431041563325
saker,5.641059863868711
toise,5.640224696001066
pairs,5.6386052273447245
tinas,5.638444921875386
reaks,5.637592957530925
lodes,5.637468574961974
scare,5.637467450574733
means,5.636140090050745
maser,5.63374983598813
blaes,5.633307597374879
moras,5.632373889716834
roils,5.631669998533035
tesla,5.631220111668238
riots,5.630082280376913
heals,5.630081736476768
rimes,5.629596111727582
elans,5.628808911786601
kanes,5.627497341970594
takes,5.6274738957822095
litas,5.6270158466015365
tased,5.625590891818225
mairs,5.625011719803571
ariel,5.623601429332998
runes,5.621677112428053
ratel,5.619630100745016
loirs,5.619404496395291
arsed,5.6189753410305565
rices,5.6188789099299425
darns,5.618247169262733
ripes,5.617021566627675
lakes,5.616191856177962
trois,5.615762019645522
nelis,5.615567808312575
geals,5.613486428755553
heats,5.610721464900755
lased,5.610078028500391
beals,5.6090072501059645
terai,5.608953263798473
dalis,5.608397583731237
noels,5.607989404600513
potes,5.607940133807676
dames,5.607814599790565
carts,5.60753796316074
sable,5.606426255787032
riads,5.6063253277029865
later,5.606066820962676
cotes,5.605552779381354
tomes,5.605529243283894
natis,5.60481915207482
auris,5.604624575393596
tules,5.604580325763423
paise,5.603024339922087
rotis,5.602695337656035
redos,5.602668457532149
piles,5.601468488954861
sayne,5.600852001350864
trios,5.600793651953671
parts,5.599935377652536
pones,5.598705768859262
cones,5.5985210106415035
deils,5.598333068226178
cades,5.598303887068927
reist,5.5982290049870445
lards,5.598147027659606
tared,5.596315316690228
sedan,5.595587360204218
haets,5.594708981920407
lants,5.594574205110767
daces,5.59394765536646
baels,5.5936678087273375
sider,5.593422712364716
geats,5.592884243360037
segar,5.592795462856561
motes,5.592686303575232
satin,5.591848800609199
liens,5.591758740584751
lomes,5.591686068080438
roast,5.591023784306705
topes,5.590928565677627
slart,5.590862463515046
miles,5.589691631309796
beats,5.589619587222386
maise,5.589207226620286
rheas,5.589148251586203
dites,5.588494917328407
salon,5.588292214850878
santo,5.587514466132892
robes,5.587140774614042
steal,5.587134930032328
stole,5.58685026926782
derns,5.586765322813996
carls,5.586147624023649
tides,5.585902022104976
solde,5.5854569383735475
bries,5.585278410928458
dines,5.584905109967313
marts,5.583979729871966
solan,5.583461928348336
moers,5.583402411230559
siled,5.583238243590211
iotas,5.582965117607392
resit,5.582793140175081
tarsi,5.582153806886907
rohes,5.582076494866885
pleas,5.58184629632699
selah,5.579253671049499
oater,5.579214013167727
delis,5.5791274789810315
lopes,5.578757495705937
certs,5.5776897101294125
delos,5.57710614588323
roins,5.576896690746908
ramis,5.576737982658183
rhies,5.576295471503986
stair,5.5759864018762935
risen,5.5757213651489925
doats,5.575512612642624
noser,5.575463391815994
plies,5.575197278790731
surat,5.574733262444227
perts,5.574145639278178
sient,5.5738614361315895
spale,5.572178376892193
stela,5.5721478296983165
caste,5.571899359248376
haros,5.571459419770486
ratus,5.57136745601973
holes,5.57129151138735
spate,5.571163381215527
sorda,5.57061373204167
heros,5.569876249114734
toils,5.569646375263568
stile,5.569208627335607
noris,5.5687356215709025
orate,5.56866547539609
aster,5.568628696376037
tarps,5.568422671943365
garis,5.568052804004469
paste,5.567402181107791
vares,5.566816068868232
clies,5.566445467773929
wales,5.566442115559833
dorse,5.566117776035839
arsey,5.565532508445293
horas,5.565152764321675
ursae,5.564733597398158
suite,5.564573961361756
marls,5.564415907017677
shale,5.563907745889878
rauns,5.5637633456291535
prase,5.5636861526457215
sepia,5.563110230259603
proas,5.56308640149734
stria,5.563044733253952
nabes,5.562897922915867
seton,5.562107000328589
laids,5.561469472899584
caret,5.560990441562778
dures,5.560355093424836
roams,5.559421705221929
crias,5.559022435071808
cames,5.5586734582463375
goles,5.558178505817804
sepal,5.558157245273469
stean,5.55810570922649
boles,5.556399771105264
getas,5.556293168040561
tyres,5.555557930576598
scale,5.5553941477246305
dials,5.555332974130266
hairs,5.554954773517436
betas,5.55478010355606
irate,5.5546788788048485
merls,5.553012928708636
seare,5.552290187033103
tunes,5.551979277107852
acnes,5.551931284909328
senti,5.551483225974728
anise,5.550220595670247
altos,5.550106303645581
praos,5.549779475956179
rinse,5.549761630902975
apers,5.549099577595365
pails,5.548538737591817
times,5.548458325901211
drats,5.547436164781342
carte,5.5473146079845135
teaks,5.547231856335965
genas,5.546984100767407
toads,5.545999468855105
goras,5.545661891534546
paces,5.545472854113808
sawer,5.545301631967119
aired,5.545154757882481
carns,5.545097209139223
tirls,5.54503331229246
piers,5.544611245130834
neaps,5.5444023625752274
abies,5.544206783078785
doris,5.544137153150419
paire,5.543888768340381
paseo,5.543726559534947
cites,5.543392787002879
yeans,5.543115633255808
baser,5.542925301080836
heirs,5.542518124394892
nemas,5.5424919994521895
capes,5.542313313736218
noirs,5.541970386465441
beans,5.541637151280658
urase,5.541581910667063
rokes,5.541545043975382
lutes,5.541386159519407
boras,5.541107838941337
uraos,5.540743807297948
geans,5.540718848340765
wears,5.5404653854007835
loads,5.539880991958884
retia,5.539376162799001
gairs,5.53910904087886
leaks,5.538190696912892
porae,5.537416991395144
nodes,5.537066882464468
acers,5.536904591110943
realo,5.536510119825742
tices,5.536109714185383
eyras,5.535724860847458
aegis,5.535178970782233
etnas,5.534933808497766
terms,5.534846792339786
mails,5.53405685225842
datos,5.5338082194244755
mites,5.533728271873616
palis,5.532900862289475
limes,5.532856087175745
maces,5.532849942417154
repos,5.532504400583483
losen,5.531917860301189
pines,5.5315505728392615
cines,5.531502826907281
spear,5.530912212142584
septa,5.530653824980135
smear,5.530066517474698
stade,5.529808395557972
ceils,5.52978765114778
euros,5.529176990082219
rosed,5.529048144536807
artel,5.528996919588918
sited,5.528739835678282
fears,5.5285265441441345
oared,5.52833461785435
stone,5.528098891142793
ribes,5.527705638802262
hoars,5.527532746388504
shear,5.526729711695633
coals,5.526587025116655
sonde,5.526415765606912
donas,5.526249856774771
maire,5.52576634484539
sauce,5.5256823955838605
resto,5.525528187287293
carle,5.524515223328032
morae,5.523599826076347
safer,5.523477352720525
sined,5.522686158739178
sidle,5.521885997775977
tinea,5.5218353592834655
soree,5.521429181737388
denis,5.520669581839693
lipes,5.520614012656418
diels,5.5206119679390575
lunes,5.520356916692503
sales,5.520275207162392
malis,5.520197165575506
rases,5.519919083940263
noise,5.519596668258341
perns,5.5190656878208335
doser,5.519010988622785
rands,5.5187476869600856
mines,5.518589589025251
soger,5.518520050042554
fores,5.5184101288272815
coats,5.518021383339647
nards,5.517510655513162
parle,5.517501375736413
liane,5.517359115651409
cures,5.517065418666744
lyres,5.516640104480911
dalts,5.516305306009883
pures,5.51610759964147
rotls,5.515988275439197
shoer,5.5157046434256785
hones,5.515639968623765
trads,5.515598459807412
harts,5.515518317846515
pareo,5.515174087675115
resay,5.5149430693898935
socle,5.514534734918976
hades,5.514278204477353
talus,5.513950394327895
sloan,5.513270079295569
oners,5.512567233731183
calos,5.51234747426518
ronts,5.510182280943848
sober,5.510091721037841
slain,5.509047397723547
ketas,5.508909824424563
fates,5.508808135330173
wanes,5.508527882098343
corse,5.507971904086533
seric,5.507549553004104
ables,5.507092520617277
colas,5.507022983174047
spane,5.506917777890998
lerps,5.506731552402857
boars,5.506429839547387
hoers,5.504608412682507
karos,5.503914271048802
keros,5.50358625136504
toges,5.503525310911813
mures,5.503390428855518
rouse,5.5022755860826935
moats,5.501745097328945
samey,5.500334305515995
botes,5.5001950867938465
koras,5.498887940521635
diets,5.498661243335327
spier,5.498579645674849
fanes,5.49848440490391
rated,5.4983540603429635
marle,5.497879195438177
meads,5.4977822277888295
sieur,5.497698271466098
harls,5.496662539781297
morse,5.496147616595351
spore,5.49532439630813
sapor,5.495264944835235
biles,5.494782498242639
bones,5.4942119972394625
smore,5.494184616738441
molas,5.4940832588521165
telia,5.4936943193342165
loges,5.493600939065317
goers,5.493172945384845
poets,5.492859827186119
alter,5.492764780726925
gades,5.492434872259246
shier,5.492194756607122
derat,5.49213980140005
nomes,5.491448383912033
raves,5.490539618414649
sault,5.490426527128101
tamis,5.490184399193131
sured,5.489928022907978
slake,5.488912484607304
sural,5.488688810754411
lobes,5.488545735522956
peons,5.488538364928117
shore,5.488287863393929
snead,5.488179549620242
riems,5.488056674239622
anils,5.48781104599944
lapse,5.487422689783185
alecs,5.487255717042818
deair,5.487154805731718
haste,5.48672191309233
delts,5.486662465154344
raiks,5.486224338682131
daurs,5.485982898197934
sayed,5.485893911283097
manse,5.485740357779589
nerds,5.485301674249402
laics,5.485119060299853
ditas,5.485067258441395
laten,5.484273997630621
ramie,5.482574413327653
siree,5.482264908285518
learn,5.4820685880564115
ragis,5.482054055400449
prats,5.481785621911137
sears,5.481671886777759
score,5.481625258653859
resin,5.48153117224738
rares,5.48076195109937
herls,5.480227659616008
toile,5.479777523792315
halse,5.479765506514141
poser,5.479681613485206
dater,5.479545249186888
rends,5.4794142310805825
loast,5.4793243250049946
keirs,5.478362608950342
nides,5.478218593932762
sores,5.4780696910442375
tapis,5.4776661180441595
cains,5.4768374444635075
slide,5.476228996142217
eales,5.474816898780001
trons,5.474557971097335
hames,5.472996983512396
sates,5.472910287942793
torus,5.472477262383731
spire,5.472311391252721
dorts,5.471936632444367
toner,5.471497625300352
paren,5.471184682898785
sield,5.47089683062493
loins,5.470720175113801
pains,5.470666446647533
rabis,5.47061343782685
earnt,5.468308561724143
alien,5.467888076121925
duras,5.466704169041997
hails,5.466212898754309
sonce,5.466167086549163
salut,5.46572675989772
soyle,5.465572037048117
crues,5.465371123639486
roids,5.465292080840133
dants,5.46511310748974
stead,5.46502343098665
shire,5.464939454046889
sanes,5.464755243787182
moues,5.464412167208151
wires,5.462547246709091
reiks,5.461742182600128
manis,5.460928003072269
harns,5.46090705477373
