GuessWord,Entropy
tares,6.002239051813707
tears,5.952144893864574
tores,5.930533548682275
tries,5.917416717607338
teras,5.894313935693339
stare,5.8682580239384725
soare,5.8601241419269
tires,5.858080015841843
arets,5.849249500349448
torse,5.848530212717637
taser,5.832975455826212
rates,5.830445471098868
roate,5.822262671075274
strae,5.8183055896696345
tales,5.810521518891112
taels,5.8073096550628795
tiers,5.80238674391375
salet,5.784045400265325
tones,5.771630521870235
stire,5.763468481766883
slate,5.759297514550983
teals,5.747840362841864
rotes,5.746829193483654
tiars,5.741402258889599
stane,5.736352165854923
toles,5.736273878109631
reast,5.732287342972827
store,5.724821040187787
orate,5.724538326124142
toeas,5.718201659434333
toras,5.7179315263636195
trone,5.715045403544507
toise,5.71370618845685
terns,5.708907818322946
trace,5.707250134685041
share,5.706691027878333
roset,5.704638472581673
saner,5.703799544945782
trans,5.697137985903629
arise,5.696497995360907
lares,5.6950549351900515
tines,5.694587626379368
taler,5.693799274853429
tarns,5.69274357290629
laers,5.689388044693233
hares,5.689270164533842
stale,5.685284857887046
irate,5.68504708630201
nares,5.684788272102517
arles,5.679973071782793
rites,5.676179902672821
snare,5.6757582914330795
raise,5.675303925562892
sient,5.672264143127944
stear,5.671432060466401
teils,5.671258566385361
thrae,5.669163019627647
nates,5.666839387345171
trade,5.666448096312134
tared,5.666367339133781
arose,5.66188575278041
trine,5.659436651159814
saine,5.65714899318688
stoae,5.655665167494724
toner,5.6552215701739
tiles,5.6546877950297745
taros,5.650963570101879
teins,5.646203841687948
antre,5.638275205462678
earst,5.637132541483659
caret,5.63700200634333
crate,5.6355844432201705
trois,5.634921154394324
least,5.6349206779769725
alert,5.632546348420733
lores,5.6305945838671425
lears,5.629831698637701
reist,5.6280957615266285
taces,5.625560773265613
roast,5.624902667545241
leats,5.623738893381719
lotes,5.620083429827164
antes,5.619187782827347
heart,5.618166385841694
sared,5.611494929781982
trues,5.608190430091697
trons,5.608114441470583
carte,5.60702092703225
cares,5.6055171361517635
sorel,5.604838898840429
notes,5.60483839078242
hears,5.603961942592814
saute,5.601820781783558
rales,5.5992371870870725
resat,5.598623236237154
rones,5.596156492527824
snore,5.594090666009398
aeros,5.5924902032913
haets,5.591730414788469
stile,5.590521172534696
trios,5.589910090553362
nears,5.589883787491441
aster,5.587519038588202
neats,5.587479292936748
dares,5.587464910119742
stone,5.586568797142527
slart,5.585841826090425
artel,5.585291552229092
shear,5.5849610671754695
soler,5.584400436450839
sated,5.583163617840694
airts,5.5829772716210115
ronte,5.5808183008007415
siren,5.580717898164045
later,5.579856103067975
targe,5.578075760815509
reans,5.576300650977045
toile,5.574529245411024
hates,5.573944995685029
reais,5.573321870869451
tried,5.572993923094799
raits,5.572056196793525
slane,5.572018083423902
terai,5.571719765764568
raile,5.56876428326975
cates,5.565075763941396
tased,5.561661403208111
shoer,5.56118437119552
earnt,5.561079069712645
shale,5.560106239223449
ariel,5.559761750726127
tails,5.559298103182461
raine,5.558240467767603
hires,5.557912103851863
shore,5.557699139164728
tains,5.5533060216364705
rhies,5.5521979402992825
rotas,5.551863096841031
reals,5.551522891099542
aloes,5.54810062799757
dates,5.547460094093676
lites,5.546932964457044
roles,5.546355522206428
tired,5.546144289316058
thane,5.545475305443406
atone,5.54467438355949
alter,5.544251959837836
lanes,5.543995008871392
stole,5.542813244999129
tiros,5.542589411378587
roans,5.541609600738052
aeons,5.540312436178143
trins,5.5390278588163095
tians,5.538783965734051
thale,5.537896837507439
earns,5.5370937182306905
slier,5.536809485559782
litre,5.534785878917508
urate,5.534415344708441
tehrs,5.534139475352513
thars,5.53411972913373
leirs,5.533336611481718
sitar,5.533260132363045
hater,5.5331980959840035
teads,5.532408610672112
oater,5.532221766426412
